บริการ,บริการรายการย่อย,Measure Names,หมวดสิทธิ,Measure Values
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนหน่วย,อื่นๆ,12
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนครั้ง,อื่นๆ,34
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนคน,อื่นๆ,33
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนเงินจ่าย,อปท.,423000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนหน่วย,อปท.,32
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนครั้ง,อปท.,146
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนคน,อปท.,145
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนเงินจ่าย,ประกันสังคม,42090731
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนหน่วย,ประกันสังคม,109
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนครั้ง,ประกันสังคม,14233
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนคน,ประกันสังคม,13870
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนเงินจ่าย,บัตรทอง,73436530
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนหน่วย,บัตรทอง,154
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนครั้ง,บัตรทอง,24831
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนคน,บัตรทอง,24331
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนเงินจ่าย,ข้าราชการ,2937240
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนหน่วย,ข้าราชการ,68
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนครั้ง,ข้าราชการ,997
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนคน,ข้าราชการ,987
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนเงินจ่าย,รวมทุกสิทธิ,118989501
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนหน่วย,รวมทุกสิทธิ,162
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนครั้ง,รวมทุกสิทธิ,40241
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,รวม,จำนวนคน,รวมทุกสิทธิ,39335
